Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status
Alias_160,WOCOMPANY_051,SDPLDEAL-172,One time Project,,Completed,2025-12-23,2025-12-12,Purchase Order,2025-12-20,2025-12-31,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,,,53644.2,63300.156,,0,,53644.2,63300.156,0,,,300 HA,,300,Not billed yet,,,,,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-173,One time Project,,Completed,2025-12-23,2025-12-12,Purchase Order,2025-12-20,2025-12-31,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,,,51852.3604,61185.78527,,0,,51852.3604,61185.78527,0,,,290,,290,Not billed yet,,,,,,,
Octopus,WOCOMPANY_002,SDPLDEAL-174,One time Project,,Ongoing,,2025-12-20,Purchase Order,2025-12-20,2026-01-31,OWNER_003,Mining,Others,NONE,,,43162,50931.16,,0,,43162,50931.16,0,,,1,,1,,,,,,,,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-175,One time Project,,Ongoing,,2025-12-22,Email Confirmation,2025-12-25,2026-01-15,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,,289802,341966.36,,0,,289802,341966.36,0,,,1,,1,,,,,,,,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-176,One time Project,,Ongoing,,2025-12-22,Email Confirmation,2025-12-25,2026-01-15,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,,289802,341966.36,,0,,289802,341966.36,0,,,1,,1,,,,,,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-177,Monthly Contract,,Not Started,,2025-12-16,Purchase Order,2025-11-01,2026-03-31,OWNER_005,Renewables,Surveillance- needs continues monitoring,SPECTRA + DMO,,,462450,545691,184980,218276.4,213910.872,277470,327414.6,4365.528,,,5,,5,,,,,,,,
Whale,WOCOMPANY_004,SDPLDEAL-178,Proof of Concept,,Completed,,,,,,OWNER_002,Powerline,"Thermography, LiDAR Survey: LiDAR, Powerline Inspection",SPECTRA,,,0,0,,0,,0,0,0,,,2 towers,,2,,,,,,,,
Squirtle,WOCOMPANY_049,SDPLDEAL-179,Proof of Concept,,Ongoing,,2025-12-24,Purchase Order,2025-12-24,2025-12-31,OWNER_002,Powerline,Powerline Inspection,SPECTRA,,,55494,65482.92,,0,,55494,65482.92,0,,,L/s,,,,,,,,,,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-180,One time Project,,Ongoing,,2025-12-29,Email Confirmation,2025-12-31,2026-01-31,OWNER_003,Renewables,"Topography Survey: RGB, Hydrology",NONE,,,295968,349242.24,,0,,295968,349242.24,0,,,1,,1,,,,,,,,
Turtle,WOCOMPANY_024,SDPLDEAL-181,Proof of Concept,,Details pending from Client,,2026-01-01,Purchase Order,2026-01-12,2026-02-12,OWNER_004,Mining,Mine survey,SPECTRA,,,184980,218276.4,,0,,184980,218276.4,0,,,150000,,150000,,,,,Open,,,
Bugs Bunny,WOCOMPANY_028,SDPLDEAL-182,One time Project,,Not Started,,2026-01-12,Email Confirmation,2026-01-09,2026-03-31,OWNER_003,Railways,LiDAR Survey: LiDAR,NONE,,,8986062.029,10603553.19,,0,,8986062.029,10603553.19,0,,,593,,593,,,,,,,,
Bulbasaur,WOCOMPANY_050,SDPLDEAL-185,One time Project,,Not Started,,2026-01-09,Email Confirmation,2026-01-12,2026-01-16,OWNER_004,Others,Others,SPECTRA,,,139072.8968,164106.0182,164106.0182,193645.1015,69560.56979,-25033.12142,-29539.08328,124084.5317,Priority,,7000 images,,7000,,,,,,,,
Timon,WOCOMPANY_046,SDPLDEAL-186,One time Project,,Ongoing,,2026-01-06,Purchase Order,2026-01-13,2026-01-30,OWNER_001,Renewables,Others,NONE,,,209027.4,246652.332,,0,,209027.4,246652.332,0,,,1,,1,Not billed yet,,,,,,,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-187,One time Project,,Not Started,,2026-01-09,Purchase Order,2026-01-19,2026-06-30,OWNER_003,Renewables,Others,NONE,,,610434,720312.12,,0,,610434,720312.12,0,,,6,,6,,,,,,,,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-188,One time Project,,Not Started,,2026-01-09,Purchase Order,2026-01-19,2026-02-28,OWNER_003,Renewables,Others,NONE,,,215810,254655.8,,0,,215810,254655.8,0,,,2,,2,,,,,,,,
,WOCOMPANY_045,SDPLDEAL-189,Proof of Concept,,Ongoing,,2026-01-09,Purchase Order,2026-01-17,2026-03-31,OWNER_003,Railways,Others,NONE,,,1035854.087,1222307.823,,0,,1035854.087,1222307.823,0,,,30,,30,,,,,,,,
