Deal Name,Owner code,Client Code,Deal Status,Close Date (A),Closure Probability,Masked Deal value,Tentative Close Date,Deal Stage,Product deal,Sector/service,Created Date
Touka,OWNER_003,COMPANY114,Dead,,,,2025-06-30,O. Not Relevant at all,Pure Service,Renewables,2025-05-15
Jotaro,OWNER_001,COMPANY073,Dead,,,,2024-11-17,L. Project Lost,,Mining,2024-08-09
Dio,OWNER_006,COMPANY167,Dead,,,,2025-06-23,L. Project Lost,,Others,2024-08-12
Josuke,OWNER_006,COMPANY122,Dead,,,,2024-11-18,L. Project Lost,,Renewables,2024-08-16
Josuke,OWNER_003,COMPANY075,Dead,,,,2024-09-30,N. Not relevant at the moment,Pure Service,Others,2024-08-09
Giorno,OWNER_002,COMPANY098,Dead,,,751473450,2025-05-29,L. Project Lost,,Powerline,2025-05-20
Armin,OWNER_006,COMPANY065,Dead,,,,2025-06-30,B. Sales Qualified Leads,,Renewables,2025-05-27
Erwin,OWNER_003,COMPANY200,Dead,,,,2025-07-04,L. Project Lost,Pure Service,Renewables,2025-05-27
Shoto Todoroki,OWNER_002,COMPANY148,Dead,,,,2025-07-31,O. Not Relevant at all,,Powerline,2025-06-10
Deku,OWNER_003,COMPANY191,Dead,,,,2025-07-31,O. Not Relevant at all,Pure Service,Renewables,2025-06-11
Erwin,OWNER_003,COMPANY152,Dead,,,1223400,2025-07-31,O. Not Relevant at all,Pure Service,Renewables,2025-06-11
Erwin,OWNER_003,COMPANY034,Dead,,,,2025-07-31,O. Not Relevant at all,Pure Service,Others,2025-06-19
Erwin,OWNER_006,COMPANY181,Dead,,,,2025-07-31,I. POC,,Renewables,2025-06-24
Erwin,OWNER_006,COMPANY023,Dead,,,,2025-07-31,E. Proposal/Commercials Sent,,Renewables,2025-06-24
Erwin,OWNER_006,COMPANY128,Dead,,,,2025-08-31,C. Demo Done,,Mining,2025-07-01
Rimuru,OWNER_003,COMPANY133,Dead,,,244680,2025-08-31,O. Not Relevant at all,Pure Service,Renewables,2025-07-28
Mugen,OWNER_003,COMPANY133,Dead,,,305850,2025-08-31,O. Not Relevant at all,Pure Service,Renewables,2025-07-28
Shinra,OWNER_003,COMPANY030,Dead,,,367020,2025-08-31,O. Not Relevant at all,Pure Service,Renewables,2025-07-28
Rengoku,OWNER_003,COMPANY082,Dead,,,367020,2025-08-31,O. Not Relevant at all,Pure Service,Renewables,2025-07-28
Rengoku,OWNER_003,COMPANY007,Dead,,,550530,2025-08-31,M. Projects On Hold,Pure Service,Renewables,2025-07-28
Madara,OWNER_003,COMPANY006,Dead,,,2569140,2025-08-31,E. Proposal/Commercials Sent,Pure Service,Renewables,2025-07-28
Obito,OWNER_003,COMPANY053,Dead,,,,2025-09-15,M. Projects On Hold,Pure Service,Renewables,2025-07-28
Obito,OWNER_003,COMPANY174,Dead,,,,2025-08-31,M. Projects On Hold,Pure Service,Renewables,2025-07-28
Akaza,OWNER_003,COMPANY158,Dead,,,,2025-08-31,O. Not Relevant at all,Pure Service,Mining,2025-07-28
Cell,OWNER_003,COMPANY007,Dead,,,97872000,2025-08-31,L. Project Lost,Pure Service,Mining,2025-07-28
Frieza,OWNER_003,COMPANY008,Dead,,,,2025-08-31,O. Not Relevant at all,Pure Service,Renewables,2025-07-28
Frieza,OWNER_003,COMPANY081,Dead,,,176169600,2025-08-31,O. Not Relevant at all,Pure Service,Aviation,2025-07-28
Beerus,OWNER_002,COMPANY079,Dead,,,,2025-08-31,N. Not relevant at the moment,,Renewables,2025-07-29
Whis,OWNER_002,COMPANY124,Dead,,,,2025-09-30,O. Not Relevant at all,,Powerline,2025-08-11
Gohan,,COMPANY195,Dead,,,,2025-09-30,D. Feasibility,,Mining,2025-08-25
Gohan,,COMPANY119,Dead,,,,2025-10-31,E. Proposal/Commercials Sent,,Others,2025-09-05
Gohan,OWNER_003,COMPANY049,Dead,,,19085040,2025-10-31,E. Proposal/Commercials Sent,Pure Service,Railways,2025-09-15
Gohan,OWNER_003,COMPANY156,Dead,,,3670200,2025-10-31,B. Sales Qualified Leads,Pure Service,Railways,2025-09-15
Gohan,OWNER_001,COMPANY088,Dead,,,,2025-10-31,B. Sales Qualified Leads,,Manufacturing,2025-09-15
Krillin,OWNER_001,COMPANY147,Open,,,1101060,2025-10-31,D. Feasibility,,Renewables,2025-09-15
Mickey Mouse,OWNER_002,COMPANY166,Dead,,,944709.48,2025-10-31,E. Proposal/Commercials Sent,,Powerline,2025-09-22
Donald Duck,OWNER_003,COMPANY035,Dead,,Low,1223400,2025-11-24,L. Project Lost,Pure Service,Railways,2025-11-18
Goofy,OWNER_003,COMPANY189,Dead,,Low,4973119.777,2025-12-31,B. Sales Qualified Leads,Pure Service,Railways,2025-11-18
Daffy Duck,OWNER_002,COMPANY124,Dead,,Medium,6114436.977,2025-12-08,L. Project Lost,,Tender,2025-10-14
Erwin,OWNER_002,COMPANY117,Dead,,Low,1923184.8,2025-11-28,E. Proposal/Commercials Sent,,Powerline,2025-03-31
Alias_162,OWNER_003,COMPANY111,Dead,,Medium,9200237.148,2025-10-31,L. Project Lost,Pure Service,Railways,2025-09-15
Bugs Bunny,OWNER_003,COMPANY007,Dead,,Low,4893600,2026-01-20,L. Project Lost,Pure Service,Mining,2025-11-18
Bugs Bunny,OWNER_004,COMPANY010,Dead,,Low,1835100,2025-12-15,C. Demo Done,Spectra Deal,Mining,2025-11-20
Bugs Bunny,OWNER_001,COMPANY105,Dead,,,2691480,2025-11-21,G. Project Won,Pure Service,Renewables,2025-11-17
Bugs Bunny,OWNER_003,COMPANY126,Won,,,,,A. Lead Generated,,Powerline,2025-11-27
Bugs Bunny,OWNER_003,COMPANY036,Won,,,,,A. Lead Generated,,Renewables,2025-11-27
Bugs Bunny,OWNER_001,COMPANY137,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Bugs Bunny,OWNER_001,COMPANY137,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Scooby-Doo,OWNER_001,COMPANY137,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Scooby-Doo,OWNER_001,COMPANY137,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Scooby-Doo,OWNER_001,COMPANY024,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Scooby-Doo,OWNER_001,COMPANY024,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Scooby-Doo,OWNER_001,COMPANY024,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Shaggy,OWNER_001,COMPANY024,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Tom,OWNER_001,COMPANY159,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Jerry,OWNER_003,COMPANY001,Won,,,,,A. Lead Generated,,Renewables,2025-11-27
,OWNER_003,COMPANY165,Won,,,,,A. Lead Generated,,Railways,2025-11-27
Bart Simpson,OWNER_001,COMPANY188,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Bart Simpson,OWNER_001,COMPANY186,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Lisa Simpson,OWNER_001,COMPANY085,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Bakugo,OWNER_001,COMPANY192,Won,,,,,A. Lead Generated,,Mining,2025-11-27
,OWNER_001,COMPANY140,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Marge Simpson,OWNER_001,COMPANY106,Won,,,,,A. Lead Generated,,Construction,2025-11-27
Marge Simpson,OWNER_004,COMPANY054,Won,,,,,A. Lead Generated,,Renewables,2025-11-27
Marge Simpson,OWNER_001,COMPANY076,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Peter Griffin,OWNER_001,COMPANY102,Won,,,,,A. Lead Generated,,Mining,2025-11-27
